image_id,filepath,filename,sha256,ground_truth,keras_fp32_pred,keras_fp32_conf,keras_fp32_margin,litert_float32_pred,litert_float32_conf,litert_float32_margin,litert_float16_pred,litert_float16_conf,litert_float16_margin,litert_int8_pred,litert_int8_conf,litert_int8_margin
clean_train_early_blight_67378,clean_dataset\potato_dataset\train\early_blight\67378.jpg,67378.jpg,891a08245e761a34a6a86f69bf391f731961bbee833cf1dc48af75e8a087c61f,early_blight,early_blight,13.0314,23.3822,early_blight,1.0,1.0,early_blight,1.0,1.0,early_blight,1.0,1.0
clean_train_early_blight_67427,clean_dataset\potato_dataset\train\early_blight\67427.jpg,67427.jpg,280c072fe7bc255dd57e86ac0bd0f6d7d8cdd2082e3ee50929a3f5b1c19089fc,early_blight,early_blight,6.4233,10.1161,early_blight,1.0,0.9999,early_blight,1.0,0.9999,early_blight,0.9974,0.9959
clean_train_early_blight_67428,clean_dataset\potato_dataset\train\early_blight\67428.jpg,67428.jpg,41a8784d59d6148c41a345720c158e29b3b3cc5ed2ce72508497fc4bbe93ae63,early_blight,early_blight,10.0202,16.4233,early_blight,1.0,1.0,early_blight,1.0,1.0,early_blight,1.0,1.0
clean_train_early_blight_67439,clean_dataset\potato_dataset\train\early_blight\67439.jpg,67439.jpg,2990d793a93267f6aa2ce10a7129d56284f186169e549b2b8a3798e3935d0b90,early_blight,early_blight,16.0635,26.7355,early_blight,1.0,1.0,early_blight,1.0,1.0,early_blight,1.0,1.0
clean_train_early_blight_67443,clean_dataset\potato_dataset\train\early_blight\67443.jpg,67443.jpg,2dddd892401ec666f5f5ed300607be3383cb7767193c89eb7e2a4e25199a6315,early_blight,early_blight,14.7464,25.5431,early_blight,1.0,1.0,early_blight,1.0,1.0,early_blight,1.0,1.0
clean_train_early_blight_67449,clean_dataset\potato_dataset\train\early_blight\67449.jpg,67449.jpg,1e9e6f693a0fcd53c75e3f28e09b446ba51131cf74c6f6d33606a775cc9dd521,early_blight,early_blight,11.889,19.0511,early_blight,1.0,1.0,early_blight,1.0,1.0,early_blight,0.9988,0.9978
clean_train_early_blight_67450,clean_dataset\potato_dataset\train\early_blight\67450.jpg,67450.jpg,1e378c605af4166e20aa52f547c4bb75b26fb09fef977c5a5afbbdfeea0c5974,early_blight,early_blight,11.2919,18.2381,early_blight,1.0,1.0,early_blight,1.0,1.0,early_blight,1.0,1.0
clean_train_early_blight_67455,clean_dataset\potato_dataset\train\early_blight\67455.jpg,67455.jpg,501faa22b1b47845a25eec54953d28dc4823b2154e4bf20f034f5e2229ebf679,early_blight,early_blight,16.0496,28.2391,early_blight,1.0,1.0,early_blight,1.0,1.0,early_blight,1.0,1.0
clean_train_early_blight_67456,clean_dataset\potato_dataset\train\early_blight\67456.jpg,67456.jpg,0e90e02941cb026034fadab167c96743c5acd5c8a67926a3f2faf1b3e1d9ff8b,early_blight,early_blight,14.1688,24.2236,early_blight,1.0,1.0,early_blight,1.0,1.0,early_blight,1.0,1.0
clean_train_early_blight_67458,clean_dataset\potato_dataset\train\early_blight\67458.jpg,67458.jpg,b74fc07ac1a016869fe839028fbb2601dad2328a83079c81d9414b08ecccbcdd,early_blight,early_blight,5.5056,10.4027,early_blight,1.0,0.9999,early_blight,1.0,0.9999,healthy,0.9683,0.9366
clean_train_early_blight_67460,clean_dataset\potato_dataset\train\early_blight\67460.jpg,67460.jpg,ddf4804efc003ab52d9ddb798c490041423d429f28c510b24e5980a6598a38e4,early_blight,early_blight,13.7421,22.3791,early_blight,1.0,1.0,early_blight,1.0,1.0,early_blight,1.0,1.0
clean_train_early_blight_67480,clean_dataset\potato_dataset\train\early_blight\67480.jpg,67480.jpg,71390bdd68af75127d16f64b239aeb0d93647935dd9f1ed13e8f2ba5bbcf86f7,early_blight,early_blight,10.9518,19.9409,early_blight,1.0,1.0,early_blight,1.0,1.0,early_blight,1.0,1.0
clean_train_early_blight_67489,clean_dataset\potato_dataset\train\early_blight\67489.jpg,67489.jpg,35d1ea8efeacc785c78d34efaa14edeef6c05b8a177499d8c5c0db8055e16c1b,early_blight,early_blight,12.3052,19.1086,early_blight,1.0,1.0,early_blight,1.0,1.0,early_blight,0.9997,0.9994
clean_train_early_blight_67499,clean_dataset\potato_dataset\train\early_blight\67499.jpg,67499.jpg,c7b1e5aa2f80d54e157d5dc78e12a1d8614a8d4941bc6647fcd8d404691b1967,early_blight,early_blight,10.478,16.775,early_blight,1.0,1.0,early_blight,1.0,1.0,early_blight,1.0,1.0
clean_train_early_blight_67510,clean_dataset\potato_dataset\train\early_blight\67510.jpg,67510.jpg,db79866b7f10896750d79b51200408122df170deb6bd1be137b05c23c3f38f16,early_blight,early_blight,9.4118,15.964,early_blight,1.0,1.0,early_blight,1.0,1.0,early_blight,1.0,0.9999
clean_train_early_blight_67512,clean_dataset\potato_dataset\train\early_blight\67512.jpg,67512.jpg,b4dba056a9734920bd6aa29bb1a167ccbb94c4f91eb645d24fd5929eb8b8e0a6,early_blight,early_blight,9.3664,13.7509,early_blight,1.0,1.0,early_blight,1.0,1.0,early_blight,0.9985,0.9975
clean_train_early_blight_67520,clean_dataset\potato_dataset\train\early_blight\67520.jpg,67520.jpg,7cb98566f565f6f4d08545942d6d619df62d095271c9604dceb105eb4ebae94c,early_blight,early_blight,9.9081,17.5731,early_blight,1.0,1.0,early_blight,1.0,1.0,early_blight,1.0,1.0
clean_train_early_blight_67531,clean_dataset\potato_dataset\train\early_blight\67531.jpg,67531.jpg,35640162c890802b4e37344ac0c82f087c1717467859ad67d85eabeddd03566a,early_blight,early_blight,13.9597,24.5068,early_blight,1.0,1.0,early_blight,1.0,1.0,early_blight,1.0,1.0
clean_train_early_blight_67535,clean_dataset\potato_dataset\train\early_blight\67535.jpg,67535.jpg,e65f4daeb4a2ca9efaf69aa53fcda7eaae934fd803422a82fb26c5d7c5881d11,early_blight,early_blight,15.9847,26.9339,early_blight,1.0,1.0,early_blight,1.0,1.0,early_blight,1.0,1.0
clean_train_early_blight_67536,clean_dataset\potato_dataset\train\early_blight\67536.jpg,67536.jpg,3d9262fc0dab54c27080920a1e6bf72c796f6e98469938e7a9a3d24c86d87f14,early_blight,early_blight,10.3461,17.4531,early_blight,1.0,1.0,early_blight,1.0,1.0,early_blight,1.0,1.0
clean_train_early_blight_67547,clean_dataset\potato_dataset\train\early_blight\67547.jpg,67547.jpg,e9a953271028aabfee4630f65e2afbcf84ab413acb54f6a7c6f8c7510d6e8abc,early_blight,early_blight,8.408,12.2848,early_blight,1.0,1.0,early_blight,1.0,1.0,early_blight,0.9999,0.9999
clean_train_early_blight_67567,clean_dataset\potato_dataset\train\early_blight\67567.jpg,67567.jpg,d947da6dbf093dbb89f41dfa3c1227797565e1bd15d5672bc35bea9df19fef3a,early_blight,early_blight,10.0169,17.5387,early_blight,1.0,1.0,early_blight,1.0,1.0,early_blight,1.0,1.0
clean_train_early_blight_67571,clean_dataset\potato_dataset\train\early_blight\67571.jpg,67571.jpg,87eee2a271c469a35af735a0a7e2292f04dd946022f839673aab33366b95c0af,early_blight,early_blight,15.6079,25.3002,early_blight,1.0,1.0,early_blight,1.0,1.0,early_blight,1.0,1.0
clean_train_early_blight_67578,clean_dataset\potato_dataset\train\early_blight\67578.jpg,67578.jpg,907246b171841643f126930005f0dd6d286fded103464d840a480c1118785d54,early_blight,early_blight,12.1196,21.4809,early_blight,1.0,1.0,early_blight,1.0,1.0,early_blight,1.0,1.0
clean_train_early_blight_67593,clean_dataset\potato_dataset\train\early_blight\67593.jpg,67593.jpg,da50c7c38b70834bd3f183b98237b3a412a267955ce4ff70d144e09855d1cf2c,early_blight,early_blight,13.4784,22.2455,early_blight,1.0,1.0,early_blight,1.0,1.0,early_blight,0.9996,0.9992
clean_train_early_blight_67596,clean_dataset\potato_dataset\train\early_blight\67596.jpg,67596.jpg,81159b1c6ed81c25ef035068749ff38fc6c86302babdd7ecc25c9dcacb84750f,early_blight,early_blight,16.9552,28.3257,early_blight,1.0,1.0,early_blight,1.0,1.0,early_blight,1.0,1.0
clean_train_early_blight_67612,clean_dataset\potato_dataset\train\early_blight\67612.jpg,67612.jpg,9400130cb8b20cc7d3d5b1ded3e5d914dd6af7c2800864bbf2ba3a1ab8f649a8,early_blight,early_blight,14.427,23.9751,early_blight,1.0,1.0,early_blight,1.0,1.0,early_blight,1.0,1.0
