image_id,filepath,filename,crop,class_label,dataset_source,existing_partition,batch_id,file_size_bytes,sha256,phash,width,height,mode,format,is_corrupt,group_id,family_size,partition,class_idx,selection_reason
clean_train_early_blight_67374,clean_dataset\potato_dataset\train\early_blight\67374.jpg,67374.jpg,potato,early_blight,clean_dataset,train,PV_Batch_67k_69k,29028,f595d577defd80d0fa509f7656d1307cebd4658fb5a710d6eba42b4925b1fb54,aab5b54ab80bd0ad,224,224,RGB,JPEG,False,potato__early_blight__grp_00003,1,val,0,Held-out validation sample for LiteRT conversion parity check (first 100 deterministic val samples)
clean_train_early_blight_67386,clean_dataset\potato_dataset\train\early_blight\67386.jpg,67386.jpg,potato,early_blight,clean_dataset,train,PV_Batch_67k_69k,33075,1e3fd29b96edc81d9b86f2bad68646e2705fe3c9e2a69c2c7624c7fb573c83a9,d54a283597329e9b,224,224,RGB,JPEG,False,potato__early_blight__grp_00010,1,val,0,Held-out validation sample for LiteRT conversion parity check (first 100 deterministic val samples)
clean_train_early_blight_67387,clean_dataset\potato_dataset\train\early_blight\67387.jpg,67387.jpg,potato,early_blight,clean_dataset,train,PV_Batch_67k_69k,32345,ae6b0316adc51fb5bbf8ee229db37a9a9decaf7efe0582924d9ae804d30a08af,d555324659ea3a2b,224,224,RGB,JPEG,False,potato__early_blight__grp_00011,1,val,0,Held-out validation sample for LiteRT conversion parity check (first 100 deterministic val samples)
clean_train_early_blight_67393,clean_dataset\potato_dataset\train\early_blight\67393.jpg,67393.jpg,potato,early_blight,clean_dataset,train,PV_Batch_67k_69k,32623,87ae9dfc0fa4aa2db9b94aaeb5da25eebc98c07863d1cff9635b073d163c7407,aa4ef06b636f4864,224,224,RGB,JPEG,False,potato__early_blight__grp_00014,1,val,0,Held-out validation sample for LiteRT conversion parity check (first 100 deterministic val samples)
clean_train_early_blight_67398,clean_dataset\potato_dataset\train\early_blight\67398.jpg,67398.jpg,potato,early_blight,clean_dataset,train,PV_Batch_67k_69k,29643,30ada51f93e045cbf6969fc897dbc009f7ac19ff9f3137b8ecb96e7c796cf44c,a284f4fbd96cc550,224,224,RGB,JPEG,False,potato__early_blight__grp_00016,1,val,0,Held-out validation sample for LiteRT conversion parity check (first 100 deterministic val samples)
clean_train_early_blight_67410,clean_dataset\potato_dataset\train\early_blight\67410.jpg,67410.jpg,potato,early_blight,clean_dataset,train,PV_Batch_67k_69k,30742,ce289662c44631b6ffb52cd59e13e1486b2e2c2a554c0454fdd45d11d654cde8,d6a46ab515562b6a,224,224,RGB,JPEG,False,potato__early_blight__grp_00023,1,val,0,Held-out validation sample for LiteRT conversion parity check (first 100 deterministic val samples)
clean_train_early_blight_67413,clean_dataset\potato_dataset\train\early_blight\67413.jpg,67413.jpg,potato,early_blight,clean_dataset,train,PV_Batch_67k_69k,29148,ab63750ba4530b1181eb46bb623e6abf241557ccc25205150bb6b985721d7f8d,eae464bbc6319cc2,224,224,RGB,JPEG,False,potato__early_blight__grp_00026,1,val,0,Held-out validation sample for LiteRT conversion parity check (first 100 deterministic val samples)
clean_train_early_blight_67429,clean_dataset\potato_dataset\train\early_blight\67429.jpg,67429.jpg,potato,early_blight,clean_dataset,train,PV_Batch_67k_69k,31888,2aefd73a5e33b9899b10bbc2c7774989a60a503e3b922ae98c4802509f95ada6,dd3972d6c2cc85c2,224,224,RGB,JPEG,False,potato__early_blight__grp_00036,1,val,0,Held-out validation sample for LiteRT conversion parity check (first 100 deterministic val samples)
clean_train_early_blight_67434,clean_dataset\potato_dataset\train\early_blight\67434.jpg,67434.jpg,potato,early_blight,clean_dataset,train,PV_Batch_67k_69k,31278,8d3288ccbd5a78f94a2e2b9757f853283f15c448c1d3f505c9b9ffccb4d4b682,d7faeaa185179450,224,224,RGB,JPEG,False,potato__early_blight__grp_00040,1,val,0,Held-out validation sample for LiteRT conversion parity check (first 100 deterministic val samples)
clean_train_early_blight_67465,clean_dataset\potato_dataset\train\early_blight\67465.jpg,67465.jpg,potato,early_blight,clean_dataset,train,PV_Batch_67k_69k,30069,3316a0c5299e3d7ef2cb0ea126554fea6ed565314d99cda5f47b12d1794d18ab,fb2f2534921a9b89,224,224,RGB,JPEG,False,potato__early_blight__grp_00060,1,val,0,Held-out validation sample for LiteRT conversion parity check (first 100 deterministic val samples)
clean_train_early_blight_67470,clean_dataset\potato_dataset\train\early_blight\67470.jpg,67470.jpg,potato,early_blight,clean_dataset,train,PV_Batch_67k_69k,30532,218413ff2c734c0719a45b660429ddef4fa9e29dff572a0332d6a2986f5ee384,847ed100df199fb8,224,224,RGB,JPEG,False,potato__early_blight__grp_00064,1,val,0,Held-out validation sample for LiteRT conversion parity check (first 100 deterministic val samples)
clean_train_early_blight_67548,clean_dataset\potato_dataset\train\early_blight\67548.jpg,67548.jpg,potato,early_blight,clean_dataset,train,PV_Batch_67k_69k,32944,370b1b8aa2e6df84cf1f9daece7fb66d78fa51758a5823cc9ba9bab62638c864,af97f49ac0d8c960,224,224,RGB,JPEG,False,potato__early_blight__grp_00115,1,val,0,Held-out validation sample for LiteRT conversion parity check (first 100 deterministic val samples)
clean_train_early_blight_67552,clean_dataset\potato_dataset\train\early_blight\67552.jpg,67552.jpg,potato,early_blight,clean_dataset,train,PV_Batch_67k_69k,30225,2f005e525292312ffe401baad7e09a9181c428ed91307b9452026a15d8279ee9,df70e04785ac95b1,224,224,RGB,JPEG,False,potato__early_blight__grp_00118,1,val,0,Held-out validation sample for LiteRT conversion parity check (first 100 deterministic val samples)
clean_train_early_blight_67562,clean_dataset\potato_dataset\train\early_blight\67562.jpg,67562.jpg,potato,early_blight,clean_dataset,train,PV_Batch_67k_69k,29391,d6eeaafeddb376f0c8ffcfe343da2ffcdd13de89dfba7c3f53f6a79b66fbd446,eb90a1cbb5cb128d,224,224,RGB,JPEG,False,potato__early_blight__grp_00124,1,val,0,Held-out validation sample for LiteRT conversion parity check (first 100 deterministic val samples)
clean_train_early_blight_67577,clean_dataset\potato_dataset\train\early_blight\67577.jpg,67577.jpg,potato,early_blight,clean_dataset,train,PV_Batch_67k_69k,33807,e0c6bf3ccb995c0b77634513bdba47d80c443c346e63423b1f1371b017802b04,82673fd0d81ac16f,224,224,RGB,JPEG,False,potato__early_blight__grp_00136,1,val,0,Held-out validation sample for LiteRT conversion parity check (first 100 deterministic val samples)
clean_train_early_blight_67584,clean_dataset\potato_dataset\train\early_blight\67584.jpg,67584.jpg,potato,early_blight,clean_dataset,train,PV_Batch_67k_69k,30160,fc5ce923f26443984da4d99b5a9fba6cb6ab6411233c9b2ff85e3b4a7f3b842a,ff63e04d872c9c30,224,224,RGB,JPEG,False,potato__early_blight__grp_00141,1,val,0,Held-out validation sample for LiteRT conversion parity check (first 100 deterministic val samples)
