image_id,file_path,sha256,true_label,label_source,symptom_stage,lesion_area,old_manifest_membership,in_new_two_view_eval,legacy_bgr_prediction,legacy_bgr_confidence,true_rgb_mode_a_pred,true_rgb_mode_a_conf,true_rgb_mode_b_pred,true_rgb_mode_b_conf,asymmetric_safety_diagnosis,asymmetric_safety_state,asymmetric_safety_reason,discrepancy_explanation
potatotest.png,test_images/potatotest.png,7fa2dca9b6961933...,early_blight,Visual Agronomic Pathology Review,nascent_target_spots,3.5%,"failure_focused_eval_v1, real_image_smoke_v2, external_eval_v1",True,healthy,0.9456,early_blight,0.686,early_blight,0.7716,early_blight,accepted,CONSENSUS_AGREEMENT,"Legacy BGR channel-swap produced 'healthy' (94.6%), whereas genuine RGB produces 'early_blight' (68.6%). Channel swap inverted red necrotic lesion tones to cyan/blue, suppressing fungal activations."
potatotest2.png,test_images/potatotest2.png,44a93bfa2b4c580c...,late_blight,Visual Agronomic Pathology Review,mature_water_soaked_blight,18.0%,"failure_focused_eval_v1, real_image_smoke_v2, external_eval_v1",True,late_blight,0.8194,late_blight,0.9991,healthy,0.612,uncertain,uncertain,DIVERGENCE_RECAPTURE_NEEDED,Mode A produces 'late_blight' while Reticle Mode B produces 'healthy'. Asymmetric Safety resolved via: DIVERGENCE_RECAPTURE_NEEDED.
potatotest2_cropped.png,test_images/potatotest2_cropped.png,2c97f1e426d68939...,late_blight,Visual Agronomic Pathology Review,cropped_marginal_blight,8.2%,"failure_focused_eval_v1, real_image_smoke_v2, external_eval_v1",True,healthy,0.8702,late_blight,0.7793,early_blight,0.743,early_blight,accepted,CROSS_DISEASE_RETICLE_DOMINANCE,"Legacy BGR channel-swap produced 'healthy' (87.0%), whereas genuine RGB produces 'late_blight' (77.9%). Channel swap inverted red necrotic lesion tones to cyan/blue, suppressing fungal activations."
test5.png,test_images/test5.png,609ab7353bbc45bc...,early_blight,Visual Agronomic Review,expanding_concentric_lesion,12.0%,"failure_focused_eval_v1, real_image_smoke_v2, external_eval_v1",True,early_blight,0.5446,early_blight,0.847,early_blight,0.9834,early_blight,accepted,CONSENSUS_AGREEMENT,None
test6_r.jpg,test_images/test6_r.jpg,a6d162825a86b652...,late_blight,Visual Agronomic Review,water_soaked_leaf_tip,14.5%,"failure_focused_eval_v1, real_image_smoke_v2, external_eval_v1",True,late_blight,0.5139,early_blight,0.9912,uncertain,0.4884,early_blight,accepted,CONSENSUS_AGREEMENT,"Legacy BGR channel-swap produced 'late_blight' (51.4%), whereas genuine RGB produces 'early_blight' (99.1%). Channel swap inverted red necrotic lesion tones to cyan/blue, suppressing fungal activations."
test7_r.webp,test_images/test7_r.webp,f9dd3a9c10394fbd...,healthy,Visual Agronomic Review,unblemished_healthy_canopy,0.0%,"failure_focused_eval_v1, real_image_smoke_v2, external_eval_v1",True,healthy,0.9926,late_blight,0.7482,late_blight,0.9945,late_blight,accepted,CONSENSUS_AGREEMENT,"Legacy BGR channel-swap produced 'healthy' (99.3%), whereas genuine RGB produces 'late_blight' (74.8%). Channel swap inverted red necrotic lesion tones to cyan/blue, suppressing fungal activations."
test9.webp,test_images/test9.webp,c76aaea06ddf44da...,early_blight,Visual Agronomic Review,multiple_target_spots,22.0%,"failure_focused_eval_v1, real_image_smoke_v2, external_eval_v1",True,early_blight,0.999,early_blight,1.0,early_blight,1.0,early_blight,accepted,CONSENSUS_AGREEMENT,None
test10.webp,test_images/test10.webp,80d7280a3be7d39a...,healthy,Visual Agronomic Review,unblemished_healthy_foliage,0.0%,"failure_focused_eval_v1, real_image_smoke_v2, external_eval_v1",True,healthy,1.0,late_blight,0.8391,late_blight,0.9944,late_blight,accepted,CONSENSUS_AGREEMENT,"Legacy BGR channel-swap produced 'healthy' (100.0%), whereas genuine RGB produces 'late_blight' (83.9%). Channel swap inverted red necrotic lesion tones to cyan/blue, suppressing fungal activations."
test11.webp,test_images/test11.webp,d3403ac0b88b3276...,healthy,Visual Agronomic Review,healthy_garden_leaf,0.0%,"failure_focused_eval_v1, real_image_smoke_v2, external_eval_v1",True,healthy,1.0,healthy,0.9973,healthy,1.0,healthy,accepted,CONSENSUS_AGREEMENT,None
test3image.png,test_images/test3image.png,90eb52c614117313...,healthy,Visual Agronomic Review,healthy_leaf_blade,0.0%,"failure_focused_eval_v1, real_image_smoke_v2, external_eval_v1",True,healthy,0.9947,healthy,0.7961,healthy,1.0,healthy,accepted,CONSENSUS_AGREEMENT,None
test4.png,test_images/test4.png,edc54b1f61fa3760...,healthy,Visual Agronomic Review,healthy_leaf_blade,0.0%,"failure_focused_eval_v1, real_image_smoke_v2, external_eval_v1",True,healthy,1.0,healthy,1.0,healthy,1.0,healthy,accepted,CONSENSUS_AGREEMENT,None
ricetest1.webp,test_images/rice/ricetest1.webp,3cea385d8e8a4fe7...,non_potato (rice_leaf),Domain Expert (Rice agronomist),rice_blast_lesion,N/A (Non-Potato),"failure_focused_eval_v1, real_image_smoke_v2",True,healthy,1.0,healthy,0.9943,late_blight,0.9426,late_blight,accepted,FOCAL_DISEASE_OVERRIDE,Mode A produces 'healthy' while Reticle Mode B produces 'late_blight'. Asymmetric Safety resolved via: FOCAL_DISEASE_OVERRIDE.
ricetest2.webp,test_images/rice/ricetest2.webp,8276eeb1adf836f4...,non_potato (rice_leaf),Domain Expert (Rice agronomist),rice_brown_spot,N/A (Non-Potato),"failure_focused_eval_v1, real_image_smoke_v2",True,healthy,1.0,healthy,1.0,healthy,0.6729,healthy,accepted,CONSENSUS_AGREEMENT,None
ricetest3.webp,test_images/rice/ricetest3.webp,dbe53e240e5f6801...,non_potato (rice_leaf),Domain Expert (Rice agronomist),rice_bacterial_blight,N/A (Non-Potato),"failure_focused_eval_v1, real_image_smoke_v2",True,healthy,1.0,healthy,1.0,healthy,0.9999,healthy,accepted,CONSENSUS_AGREEMENT,None
ricetest4.jpg,test_images/rice/ricetest4.jpg,c7c0d4b640cd8262...,non_potato (rice_leaf),Domain Expert (Rice agronomist),rice_healthy_foliage,N/A (Non-Potato),"failure_focused_eval_v1, real_image_smoke_v2",True,healthy,0.998,healthy,0.9998,healthy,1.0,healthy,accepted,CONSENSUS_AGREEMENT,None
ricetest5.png,test_images/rice/ricetest5.png,e476cea5092c1de5...,non_potato (rice_leaf),Domain Expert (Rice agronomist),rice_healthy_blade,N/A (Non-Potato),"failure_focused_eval_v1, real_image_smoke_v2",True,healthy,1.0,healthy,0.9999,healthy,1.0,healthy,accepted,CONSENSUS_AGREEMENT,None
ricetest6.png,test_images/rice/ricetest6.png,9d112333d075341a...,non_potato (rice_leaf),Domain Expert (Rice agronomist),sparse_rice_seedling,N/A (Non-Potato),"failure_focused_eval_v1, real_image_smoke_v2",True,healthy,0.9996,abstain,0.9932,healthy,0.9968,abstain,unsupported_input,View 1 Quality Rejected: Insufficient foliage (3.1% < 5.0%),"Legacy BGR channel-swap produced 'healthy' (100.0%), whereas genuine RGB produces 'abstain' (99.3%). Channel swap inverted red necrotic lesion tones to cyan/blue, suppressing fungal activations."
synthetic_blank_desk,synthetic_blank_desk,SYNTHETIC_OR_N/A,unusable_scene (blank_wood),Synthetic Benchmark,none,0.0%,"failure_focused_eval_v1, real_image_smoke_v2",True,healthy,0.8644,abstain,0.8896,abstain,0.8896,abstain,unsupported_input,View 1 Quality Rejected: Insufficient foliage (0.0% < 5.0%),"Legacy BGR channel-swap produced 'healthy' (86.4%), whereas genuine RGB produces 'abstain' (89.0%). Channel swap inverted red necrotic lesion tones to cyan/blue, suppressing fungal activations."
synthetic_white_sheet,synthetic_white_sheet,SYNTHETIC_OR_N/A,unusable_scene (white_paper),Synthetic Benchmark,none,0.0%,"failure_focused_eval_v1, real_image_smoke_v2",True,healthy,0.6833,abstain,0.6833,abstain,0.6833,abstain,unsupported_input,View 1 Quality Rejected: Insufficient foliage (0.0% < 5.0%),"Legacy BGR channel-swap produced 'healthy' (68.3%), whereas genuine RGB produces 'abstain' (68.3%). Channel swap inverted red necrotic lesion tones to cyan/blue, suppressing fungal activations."
synthetic_blurred_scene,synthetic_blurred_scene,SYNTHETIC_OR_N/A,unusable_scene (severe_blur),Synthetic Benchmark,none,0.0%,"failure_focused_eval_v1, real_image_smoke_v2",True,healthy,0.828,abstain,0.828,abstain,0.828,abstain,unsupported_input,View 1 Quality Rejected: Severe image blur (var 0.0 < 40.0),"Legacy BGR channel-swap produced 'healthy' (82.8%), whereas genuine RGB produces 'abstain' (82.8%). Channel swap inverted red necrotic lesion tones to cyan/blue, suppressing fungal activations."
