image_id,filepath,filename,crop,class_label,dataset_source,existing_partition,batch_id,file_size_bytes,sha256,phash,width,height,mode,format,is_corrupt,group_id,family_size
clean_train_early_blight_67371,clean_dataset\potato_dataset\train\early_blight\67371.jpg,67371.jpg,potato,early_blight,clean_dataset,train,PV_Batch_67k_69k,31088,524aa8909832612ce8ec4a2de6780476c1c8d1ec6addbd29de78f9e5224218ed,ead0a1ca9e9d90b5,224,224,RGB,JPEG,False,potato__early_blight__grp_00001,1
clean_train_early_blight_67373,clean_dataset\potato_dataset\train\early_blight\67373.jpg,67373.jpg,potato,early_blight,clean_dataset,train,PV_Batch_67k_69k,28534,ad12efaa65320d775c256a5bf289b18772238ad5b01d66b3037fb0eab7b142c9,8885970ae96fe0fc,224,224,RGB,JPEG,False,potato__early_blight__grp_00002,1
clean_train_early_blight_67374,clean_dataset\potato_dataset\train\early_blight\67374.jpg,67374.jpg,potato,early_blight,clean_dataset,train,PV_Batch_67k_69k,29028,f595d577defd80d0fa509f7656d1307cebd4658fb5a710d6eba42b4925b1fb54,aab5b54ab80bd0ad,224,224,RGB,JPEG,False,potato__early_blight__grp_00003,1
clean_train_early_blight_67376,clean_dataset\potato_dataset\train\early_blight\67376.jpg,67376.jpg,potato,early_blight,clean_dataset,train,PV_Batch_67k_69k,30327,5d0a94158bb604edcea4396e56fff84cd2ce2aa7297fbf42f476e7cb15aa25ed,eacaf4c19b8788b2,224,224,RGB,JPEG,False,potato__early_blight__grp_00004,1
clean_train_early_blight_67377,clean_dataset\potato_dataset\train\early_blight\67377.jpg,67377.jpg,potato,early_blight,clean_dataset,train,PV_Batch_67k_69k,33676,f760a88608c0f46aff75ddd65fa8f6b7070060c79113023fcfaf19d4ebd1eed8,ff3db0d0cae19c02,224,224,RGB,JPEG,False,potato__early_blight__grp_00005,1
clean_train_early_blight_67378,clean_dataset\potato_dataset\train\early_blight\67378.jpg,67378.jpg,potato,early_blight,clean_dataset,train,PV_Batch_67k_69k,31329,891a08245e761a34a6a86f69bf391f731961bbee833cf1dc48af75e8a087c61f,ae87e5de87014ce1,224,224,RGB,JPEG,False,potato__early_blight__grp_00006,1
clean_train_early_blight_67380,clean_dataset\potato_dataset\train\early_blight\67380.jpg,67380.jpg,potato,early_blight,clean_dataset,train,PV_Batch_67k_69k,31210,950ce82e9e5678589bdcff545f84a31aa494f9ee8bed2f62e7bced9b186fc070,f6a9e1b1936264c6,224,224,RGB,JPEG,False,potato__early_blight__grp_00007,1
clean_train_early_blight_67382,clean_dataset\potato_dataset\train\early_blight\67382.jpg,67382.jpg,potato,early_blight,clean_dataset,train,PV_Batch_67k_69k,31277,f9996a7ef057969f107eeeee1f71eaf82ceae3dccbcc4bd384aff5e0516a24d5,a001b1fecf798c47,224,224,RGB,JPEG,False,potato__early_blight__grp_00008,1
clean_train_early_blight_67384,clean_dataset\potato_dataset\train\early_blight\67384.jpg,67384.jpg,potato,early_blight,clean_dataset,train,PV_Batch_67k_69k,30510,a2906fd04db759432a399420722154d98f069740793007661b278f1815dea58f,fbc0948b9e9c9133,224,224,RGB,JPEG,False,potato__early_blight__grp_00009,1
clean_train_early_blight_67386,clean_dataset\potato_dataset\train\early_blight\67386.jpg,67386.jpg,potato,early_blight,clean_dataset,train,PV_Batch_67k_69k,33075,1e3fd29b96edc81d9b86f2bad68646e2705fe3c9e2a69c2c7624c7fb573c83a9,d54a283597329e9b,224,224,RGB,JPEG,False,potato__early_blight__grp_00010,1
