image_id,original_path,crop,class_label,source,phash,group_id,family_size
blast_train_00001,finaldataset\rice_dataset\train\blast\blast_train_00001.jpg,rice,blast,RiceDisease_Unknown,c1b77d1b371f1801,rice__blast__grp_00001,2
blast_train_00002,finaldataset\rice_dataset\train\blast\blast_train_00002.jpg,rice,blast,RiceDisease_Unknown,8383876df8bf824c,rice__blast__grp_00002,2
blast_train_00003,finaldataset\rice_dataset\train\blast\blast_train_00003.jpg,rice,blast,RiceDisease_Unknown,e303a31146bfbe58,rice__blast__grp_00003,4
blast_train_00004,finaldataset\rice_dataset\train\blast\blast_train_00004.jpg,rice,blast,RiceDisease_Unknown,991de569e80aea1e,rice__blast__grp_00004,2
blast_train_00005,finaldataset\rice_dataset\train\blast\blast_train_00005.jpg,rice,blast,RiceDisease_Unknown,a9346bce1358b3c6,rice__blast__grp_00005,2
blast_train_00006,finaldataset\rice_dataset\train\blast\blast_train_00006.jpg,rice,blast,RiceDisease_Unknown,c89ef6c11b72063d,rice__blast__grp_00006,2
blast_train_00007,finaldataset\rice_dataset\train\blast\blast_train_00007.jpg,rice,blast,RiceDisease_Unknown,d985b789e719f300,rice__blast__grp_00007,2
blast_train_00008,finaldataset\rice_dataset\train\blast\blast_train_00008.jpg,rice,blast,RiceDisease_Unknown,a86e9a896f9b41b4,rice__blast__grp_00008,2
blast_train_00009,finaldataset\rice_dataset\train\blast\blast_train_00009.jpg,rice,blast,RiceDisease_Unknown,ea488ff0077d007f,rice__blast__grp_00009,2
blast_train_00010,finaldataset\rice_dataset\train\blast\blast_train_00010.jpg,rice,blast,RiceDisease_Unknown,fa95170702f87572,rice__blast__grp_00010,2
blast_train_00011,finaldataset\rice_dataset\train\blast\blast_train_00011.jpg,rice,blast,RiceDisease_Unknown,95237a9b5af0664a,rice__blast__grp_00011,2
blast_train_00012,finaldataset\rice_dataset\train\blast\blast_train_00012.jpg,rice,blast,RiceDisease_Unknown,fc36eac03be1c286,rice__blast__grp_00012,2
blast_train_00013,finaldataset\rice_dataset\train\blast\blast_train_00013.jpg,rice,blast,RiceDisease_Unknown,aed560504871fd9e,rice__blast__grp_00013,2
blast_train_00014,finaldataset\rice_dataset\train\blast\blast_train_00014.jpg,rice,blast,RiceDisease_Unknown,d5440aa2698e7f1f,rice__blast__grp_00014,2
blast_train_00015,finaldataset\rice_dataset\train\blast\blast_train_00015.jpg,rice,blast,RiceDisease_Unknown,e843a539b066976e,rice__blast__grp_00015,2
blast_train_00016,finaldataset\rice_dataset\train\blast\blast_train_00016.jpg,rice,blast,RiceDisease_Unknown,946a4e5de10dd5d4,rice__blast__grp_00016,2
blast_train_00017,finaldataset\rice_dataset\train\blast\blast_train_00017.jpg,rice,blast,RiceDisease_Unknown,b548e437a81e69b3,rice__blast__grp_00017,2
blast_train_00018,finaldataset\rice_dataset\train\blast\blast_train_00018.jpg,rice,blast,RiceDisease_Unknown,ff20604b5b73ee10,rice__blast__grp_00018,2
blast_train_00019,finaldataset\rice_dataset\train\blast\blast_train_00019.jpg,rice,blast,RiceDisease_Unknown,9993640efac3eca1,rice__blast__grp_00019,2
blast_train_00020,finaldataset\rice_dataset\train\blast\blast_train_00020.jpg,rice,blast,RiceDisease_Unknown,edb61399590dcc0e,rice__blast__grp_00020,2
blast_train_00021,finaldataset\rice_dataset\train\blast\blast_train_00021.jpg,rice,blast,RiceDisease_Unknown,c381b7a89f3c8719,rice__blast__grp_00021,2
blast_train_00022,finaldataset\rice_dataset\train\blast\blast_train_00022.jpg,rice,blast,RiceDisease_Unknown,b792f8bf435083b0,rice__blast__grp_00022,2
blast_train_00023,finaldataset\rice_dataset\train\blast\blast_train_00023.jpg,rice,blast,RiceDisease_Unknown,b84c95b54bb64d19,rice__blast__grp_00023,2
blast_train_00024,finaldataset\rice_dataset\train\blast\blast_train_00024.jpg,rice,blast,RiceDisease_Unknown,ed3e9e65904c9649,rice__blast__grp_00024,2
