image_id,filename,path,crop,class,source,file_size,sha256,dhash,family_id,split
80515,80515.jpg,clean_dataset/tomato_dataset/val/early_blight/80515.jpg,tomato,early_blight,tomato_dataset,26201,e10a0c9bfebe8d3e19373bf58e9000618f7ea7c996b9b3ceebd505e2d987b0f2,866121614675346199,0,train
80521,80521.jpg,clean_dataset/tomato_dataset/val/early_blight/80521.jpg,tomato,early_blight,tomato_dataset,20939,b5190ae7e2b5d3cd944e8cc0c102b89b50e63c221a7098117c918d4bccb2ecd2,11746248776843201311,1,test
80531,80531.jpg,clean_dataset/tomato_dataset/val/early_blight/80531.jpg,tomato,early_blight,tomato_dataset,25184,5340f818f1761a6761adfba55ddfcc53b158f3e7d4ada087fc1542b1cf066db6,866391227291735076,2,train
80536,80536.jpg,clean_dataset/tomato_dataset/val/early_blight/80536.jpg,tomato,early_blight,tomato_dataset,25512,c5aa981abb62bae1f42fb5b615609796c0a1bcbec57ffc87753d326c4a27921e,17422120669073706001,3,train
80541,80541.jpg,clean_dataset/tomato_dataset/val/early_blight/80541.jpg,tomato,early_blight,tomato_dataset,27040,bf1feed4da8f9ea839c814615cdebc813bd62281c086cf261fe146838d36f9ea,2894245896997250565,4,val
80553,80553.jpg,clean_dataset/tomato_dataset/val/early_blight/80553.jpg,tomato,early_blight,tomato_dataset,24346,353fda3ca8389efa7f3a11ed3daffeeade65f821d3ca94edbaa6e3be28096346,793498865156181878,5,train
80554,80554.jpg,clean_dataset/tomato_dataset/val/early_blight/80554.jpg,tomato,early_blight,tomato_dataset,26505,5bcc7c84393261c2de1992c3ca70880a4f1335ffb94ba2412682acbb12dde7ab,1953365503754062647,6,train
80555,80555.jpg,clean_dataset/tomato_dataset/val/early_blight/80555.jpg,tomato,early_blight,tomato_dataset,28156,4026cae9557c7bee11dbc2346c7d7f01c1b1568977b63b165fd09c950be8c5fc,5570893927198,7,train
80556,80556.jpg,clean_dataset/tomato_dataset/val/early_blight/80556.jpg,tomato,early_blight,tomato_dataset,17527,74da56de49e693ddb670c22c052499e68f806568e1400d4dd3f32615125f3458,1954315137788118787,8,val
80571,80571.jpg,clean_dataset/tomato_dataset/val/early_blight/80571.jpg,tomato,early_blight,tomato_dataset,29186,0c4c077475d2c03848a68209f9ad2d0183a63e7b53c01ecdff7fe553338188b3,5493093346212830749,9,train
80577,80577.jpg,clean_dataset/tomato_dataset/val/early_blight/80577.jpg,tomato,early_blight,tomato_dataset,28972,252536e3676305e6d864de30ade0ec80b486b182c484b15fb415b04f36594247,2034596202396358454,10,train
80579,80579.jpg,clean_dataset/tomato_dataset/val/early_blight/80579.jpg,tomato,early_blight,tomato_dataset,21705,82edf10f93b6bd35b63d5a4aa36a8fc7e793e5f10d5843b1a55b1629be7596a6,514315483713450928,11,train
80596,80596.jpg,clean_dataset/tomato_dataset/val/early_blight/80596.jpg,tomato,early_blight,tomato_dataset,30037,1a6f120cc702b8c61cf818e005fe4e35b1cdbd21f32e5381a01beb161ac8d3e2,223257301277026144,12,train
80602,80602.jpg,clean_dataset/tomato_dataset/val/early_blight/80602.jpg,tomato,early_blight,tomato_dataset,28545,1ff41ea9bdf82ac4977f0c97f95e832edad0916fc6058310771da05926564501,5699036374953834014,13,test
80606,80606.jpg,clean_dataset/tomato_dataset/val/early_blight/80606.jpg,tomato,early_blight,tomato_dataset,24232,244eac589190900f9ef937a2fcab60257ef2e8b06d52b83a95f37b36f8117205,14054334858435701531,14,test
80610,80610.jpg,clean_dataset/tomato_dataset/val/early_blight/80610.jpg,tomato,early_blight,tomato_dataset,25656,282ad098cceba862d333da911a0627578e2d9031e9a5f73683741fd0c550e2ce,14397901473033953183,15,train
