sample_id,cohort,ground_truth,lesion_area,bg_type,notes,mode_a_diag,mode_a_state,mode_a_conf,mode_a_margin,mode_b_diag,mode_b_state,mode_b_conf,mode_b_margin,sym_diag,sym_state,sym_conf,asym_diag,asym_state,asym_conf,asym_margin,asym_reason,view1_foliage,view1_blur,view2_foliage,view2_blur,gap_dilution_mode_a,gap_dilution_mode_b,gap_dilution_sym,gap_dilution_asym
potatotest.png,failure_focused,early_blight,3.5%,Soil / outdoor foliage,nascent_target_spots,early_blight,accepted,0.686,0.372,early_blight,accepted,0.7716,0.5456,early_blight,accepted,0.7288,early_blight,accepted,0.7716,0.5456,CONSENSUS_AGREEMENT,0.923,163.1,0.939,126.2,False,False,False,False
potatotest2.png,failure_focused,late_blight,18.0%,Tabletop / indoor desk,mature_water_soaked_blight,late_blight,accepted,0.9991,0.9985,healthy,accepted,0.612,0.2672,late_blight,accepted,0.672,uncertain,uncertain,0.9991,0.2672,DIVERGENCE_RECAPTURE_NEEDED,0.704,81.5,0.565,176.7,False,True,False,False
potatotest2_cropped.png,failure_focused,late_blight,8.2%,Cropped leaf margin,cropped_marginal_blight,late_blight,accepted,0.7793,0.6183,early_blight,accepted,0.743,0.5739,uncertain,uncertain,0.4742,early_blight,accepted,0.743,0.5739,CROSS_DISEASE_RETICLE_DOMINANCE,0.738,70.8,0.795,125.6,False,False,False,False
test5.png,failure_focused,early_blight,12.0%,Uncontrolled outdoor,expanding_concentric_lesion,early_blight,accepted,0.847,0.6976,early_blight,accepted,0.9834,0.9675,early_blight,accepted,0.9152,early_blight,accepted,0.9834,0.9675,CONSENSUS_AGREEMENT,0.768,664.3,0.886,2103.6,False,False,False,False
test6_r.jpg,failure_focused,late_blight,14.5%,Field soil / sunny,water_soaked_leaf_tip,early_blight,accepted,0.9912,0.9863,uncertain,uncertain,0.4884,0.0756,early_blight,accepted,0.7398,early_blight,accepted,0.9912,0.9863,CONSENSUS_AGREEMENT,0.799,395.7,0.866,439.1,False,False,False,False
test7_r.webp,failure_focused,healthy,0.0%,Field soil / shade,unblemished_healthy_canopy,late_blight,accepted,0.7482,0.4965,late_blight,accepted,0.9945,0.9893,late_blight,accepted,0.8714,late_blight,accepted,0.9945,0.9893,CONSENSUS_AGREEMENT,0.946,145.0,0.97,249.0,False,False,False,False
test9.webp,failure_focused,early_blight,22.0%,Mixed crop canopy,multiple_target_spots,early_blight,accepted,1.0,1.0,early_blight,accepted,1.0,1.0,early_blight,accepted,1.0,early_blight,accepted,1.0,1.0,CONSENSUS_AGREEMENT,0.976,214.8,0.972,355.3,False,False,False,False
test10.webp,failure_focused,healthy,0.0%,Natural daylight foliage,unblemished_healthy_foliage,late_blight,accepted,0.8391,0.6802,late_blight,accepted,0.9944,0.9888,late_blight,accepted,0.9168,late_blight,accepted,0.9944,0.9888,CONSENSUS_AGREEMENT,0.851,2066.0,0.932,3712.3,False,False,False,False
test11.webp,failure_focused,healthy,0.0%,Outdoor natural garden,healthy_garden_leaf,healthy,accepted,0.9973,0.9945,healthy,accepted,1.0,1.0,healthy,accepted,0.9986,healthy,accepted,1.0,1.0,CONSENSUS_AGREEMENT,0.667,1436.6,0.858,1357.4,False,False,False,False
test3image.png,failure_focused,healthy,0.0%,Uncontrolled tabletop,healthy_leaf_blade,healthy,accepted,0.7961,0.6037,healthy,accepted,1.0,1.0,healthy,accepted,0.8981,healthy,accepted,1.0,1.0,CONSENSUS_AGREEMENT,0.624,792.3,0.731,1465.1,False,False,False,False
