relative_path,primary_category,secondary_category,status,risk_level,recommended_target_path,notes
.gitignore,project_configuration,documentation,protected,low,keep_in_root,Root project standard configuration.
evaluate_rice_robustness.py,evaluation,field_evaluation,active,medium,scripts/evaluation/,Rice teacher field holdout evaluation suite.
leaf_isolator.py,preprocessing,source_code,active,high,src/preprocessing/,OpenCV GrabCut & HSV plant foliage segmentation isolator.
powershell.cmd,project_configuration,environment_shim,protected,low,keep_in_root,Crucial PowerShell wrapper for Windows environment.
README.md,project_configuration,documentation,protected,low,keep_in_root,Root project standard configuration.
repo_organization_agent_prompt.md,reports_and_documentation,specification,active,low,docs/specs/,Repository organization governance specification.
requirements.txt,project_configuration,documentation,protected,low,keep_in_root,Root project standard configuration.
rice_post_training_evaluation.md,reports_and_documentation,specification,active,low,docs/specs/,Authoritative post-training evaluation protocol.
run_inference.py,field_evaluation,evaluation,active,high,keep_or_scripts,Primary end-to-end inference and Grad-CAM diagnosis entrypoint.
train_local_rice_efficientnetb3.py,training_script,source_code,active,high,scripts/training/,Primary local rice teacher training script.
archive/legacy_colab/testmodels/efficientnet b3 test.py,archive_candidate,external_artifact,historical_but_keep,low,archive/,"Historical backups, raw zips, and early colab scripts."
archive/legacy_tests/diagnose_tomato.py,archive_candidate,external_artifact,historical_but_keep,low,archive/,"Historical backups, raw zips, and early colab scripts."
archive/legacy_tests/organize_workspace.py,archive_candidate,external_artifact,historical_but_keep,low,archive/,"Historical backups, raw zips, and early colab scripts."
archive/legacy_tests/run_test3.py,archive_candidate,external_artifact,historical_but_keep,low,archive/,"Historical backups, raw zips, and early colab scripts."
archive/legacy_tests/test_potato_image.py,archive_candidate,external_artifact,historical_but_keep,low,archive/,"Historical backups, raw zips, and early colab scripts."
archive/raw_unprocessed/Rice___Healthy/IMG_20190419_094251.jpg,archive_candidate,external_artifact,historical_but_keep,low,archive/,"Historical backups, raw zips, and early colab scripts."
archive/raw_unprocessed/Rice___Healthy/IMG_20190419_094306.jpg,archive_candidate,external_artifact,historical_but_keep,low,archive/,"Historical backups, raw zips, and early colab scripts."
archive/raw_unprocessed/Rice___Healthy/IMG_20190419_094316.jpg,archive_candidate,external_artifact,historical_but_keep,low,archive/,"Historical backups, raw zips, and early colab scripts."
archive/raw_unprocessed/Rice___Healthy/IMG_20190419_094325.jpg,archive_candidate,external_artifact,historical_but_keep,low,archive/,"Historical backups, raw zips, and early colab scripts."
archive/raw_unprocessed/Rice___Healthy/IMG_20190419_094744.jpg,archive_candidate,external_artifact,historical_but_keep,low,archive/,"Historical backups, raw zips, and early colab scripts."
archive/raw_unprocessed/Rice___Healthy/IMG_20190419_094746.jpg,archive_candidate,external_artifact,historical_but_keep,low,archive/,"Historical backups, raw zips, and early colab scripts."
archive/raw_unprocessed/Rice___Healthy/IMG_20190419_094750.jpg,archive_candidate,external_artifact,historical_but_keep,low,archive/,"Historical backups, raw zips, and early colab scripts."
archive/raw_unprocessed/Rice___Healthy/IMG_20190419_094753.jpg,archive_candidate,external_artifact,historical_but_keep,low,archive/,"Historical backups, raw zips, and early colab scripts."
archive/raw_unprocessed/Rice___Healthy/IMG_20190419_094756.jpg,archive_candidate,external_artifact,historical_but_keep,low,archive/,"Historical backups, raw zips, and early colab scripts."
archive/raw_unprocessed/Rice___Healthy/IMG_20190419_094820.jpg,archive_candidate,external_artifact,historical_but_keep,low,archive/,"Historical backups, raw zips, and early colab scripts."
archive/raw_unprocessed/Rice___Healthy/IMG_20190419_094825.jpg,archive_candidate,external_artifact,historical_but_keep,low,archive/,"Historical backups, raw zips, and early colab scripts."
archive/raw_unprocessed/Rice___Healthy/IMG_20190419_094832.jpg,archive_candidate,external_artifact,historical_but_keep,low,archive/,"Historical backups, raw zips, and early colab scripts."
archive/raw_unprocessed/Rice___Healthy/IMG_20190419_094840.jpg,archive_candidate,external_artifact,historical_but_keep,low,archive/,"Historical backups, raw zips, and early colab scripts."
archive/raw_unprocessed/Rice___Healthy/IMG_20190419_094843.jpg,archive_candidate,external_artifact,historical_but_keep,low,archive/,"Historical backups, raw zips, and early colab scripts."
archive/raw_unprocessed/Rice___Healthy/IMG_20190419_094922.jpg,archive_candidate,external_artifact,historical_but_keep,low,archive/,"Historical backups, raw zips, and early colab scripts."
archive/raw_unprocessed/Rice___Healthy/IMG_20190419_094925.jpg,archive_candidate,external_artifact,historical_but_keep,low,archive/,"Historical backups, raw zips, and early colab scripts."
archive/raw_unprocessed/Rice___Healthy/IMG_20190419_094929.jpg,archive_candidate,external_artifact,historical_but_keep,low,archive/,"Historical backups, raw zips, and early colab scripts."
archive/raw_unprocessed/Rice___Healthy/IMG_20190419_094932.jpg,archive_candidate,external_artifact,historical_but_keep,low,archive/,"Historical backups, raw zips, and early colab scripts."
