relative_path,file_type,extension,size_bytes,modified_time,git_status,sha256,suspected_role,proposed_category,risk_level,notes
.gitignore,file,[none],1309,2026-09-17 15:00:12,untracked,unhashed_bulk_image_asset,documentation,project_configuration,low,Root project standard configuration.
evaluate_rice_robustness.py,file,.py,12081,2026-09-17 16:24:05,untracked,d0a183f86e8b345fe9f8499cb4cd871a2d816459ef59e7e150cb28b958b89fc8,field_evaluation,evaluation,medium,Rice teacher field holdout evaluation suite.
leaf_isolator.py,file,.py,21189,2026-09-17 14:41:37,untracked,bf07bfa1cda4fae622c963beac30cadd2c53ad2444fb1f6bce95ff60cf1a8cc8,source_code,preprocessing,high,OpenCV GrabCut & HSV plant foliage segmentation isolator.
powershell.cmd,file,.cmd,73,2026-09-17 14:54:32,untracked,de343bbbf1c268cabbe23b4393c41af33986e6a70cd00891ce8890637c67103e,environment_shim,project_configuration,low,Crucial PowerShell wrapper for Windows environment.
README.md,file,.md,6218,2026-09-17 15:00:22,untracked,89c96c9355e54aed84fbf373f5f88b93e7f66dd6d379e18c8c49d7475ba31c02,documentation,project_configuration,low,Root project standard configuration.
repo_organization_agent_prompt.md,file,.md,18088,2026-09-18 15:35:22,untracked,bc707087ce1259d6d89e5a7d60008220008e02dada13cbf2cac20d08b7f1abdf,specification,reports_and_documentation,low,Repository organization governance specification.
requirements.txt,file,.txt,626,2026-09-17 15:00:33,untracked,0aab0f1e7324aae23b106c3cc76c136c55260587560955ff020288098e64cd2e,documentation,project_configuration,low,Root project standard configuration.
rice_post_training_evaluation.md,file,.md,15218,2026-09-18 15:09:29,untracked,b13d1aef45b042b5731db41cf297e5527cd73e84898d104dafe790b352c749ee,specification,reports_and_documentation,low,Authoritative post-training evaluation protocol.
run_inference.py,file,.py,19980,2026-09-17 16:16:04,untracked,c4b1bf07dd42f3f0c49058af08738ea35a3c0908e02caafcf85f1b9c4559555f,evaluation,field_evaluation,high,Primary end-to-end inference and Grad-CAM diagnosis entrypoint.
train_local_rice_efficientnetb3.py,file,.py,18189,2026-09-17 16:27:08,untracked,e255125507b44eaa26ca7c392e775e71d2e5ff3cd8d1ed794696490b859670e3,source_code,training_script,high,Primary local rice teacher training script.
archive/legacy_colab/testmodels/efficientnet b3 test.py,file,.py,33357,2026-09-16 14:45:53,untracked,d971167ac0d53b70bf5f34da3bf71bca5abef55da9277e3ed661a4f9318900e1,external_artifact,archive_candidate,low,"Historical backups, raw zips, and early colab scripts."
archive/legacy_tests/diagnose_tomato.py,file,.py,2103,2026-09-16 18:21:42,untracked,e06f7d80e9bc1a3ec5c121c789de6d7422be0ffd779f1b67f9b055ac4cdd99c8,external_artifact,archive_candidate,low,"Historical backups, raw zips, and early colab scripts."
archive/legacy_tests/organize_workspace.py,file,.py,2847,2026-09-16 15:42:31,untracked,29ff58d3bdc5b9560368c0c2c5a897cb0ff1fec1a39d8e6996a3f5058f83cb11,external_artifact,archive_candidate,low,"Historical backups, raw zips, and early colab scripts."
archive/legacy_tests/run_test3.py,file,.py,8039,2026-09-16 15:11:30,untracked,4ef890b7013ca18400ad7246f5612c9526a140e2180a18cb4bbad82e66a0cf0a,external_artifact,archive_candidate,low,"Historical backups, raw zips, and early colab scripts."
archive/legacy_tests/test_potato_image.py,file,.py,14458,2026-09-13 14:08:18,untracked,74faedeb34118641def3eb7236bbd228666c8c3e831eb1e69f69fdcee7294af9,external_artifact,archive_candidate,low,"Historical backups, raw zips, and early colab scripts."
archive/raw_unprocessed/Rice___Healthy/IMG_20190419_094251.jpg,file,.jpg,3679,2023-09-23 06:44:50,untracked,unhashed_bulk_image_asset,external_artifact,archive_candidate,low,"Historical backups, raw zips, and early colab scripts."
archive/raw_unprocessed/Rice___Healthy/IMG_20190419_094306.jpg,file,.jpg,3878,2023-09-23 06:44:50,untracked,unhashed_bulk_image_asset,external_artifact,archive_candidate,low,"Historical backups, raw zips, and early colab scripts."
archive/raw_unprocessed/Rice___Healthy/IMG_20190419_094316.jpg,file,.jpg,3811,2023-09-23 06:44:50,untracked,unhashed_bulk_image_asset,external_artifact,archive_candidate,low,"Historical backups, raw zips, and early colab scripts."
archive/raw_unprocessed/Rice___Healthy/IMG_20190419_094325.jpg,file,.jpg,4105,2023-09-23 06:44:50,untracked,unhashed_bulk_image_asset,external_artifact,archive_candidate,low,"Historical backups, raw zips, and early colab scripts."
archive/raw_unprocessed/Rice___Healthy/IMG_20190419_094744.jpg,file,.jpg,3450,2023-09-23 06:44:50,untracked,unhashed_bulk_image_asset,external_artifact,archive_candidate,low,"Historical backups, raw zips, and early colab scripts."
archive/raw_unprocessed/Rice___Healthy/IMG_20190419_094746.jpg,file,.jpg,4660,2023-09-23 06:44:50,untracked,unhashed_bulk_image_asset,external_artifact,archive_candidate,low,"Historical backups, raw zips, and early colab scripts."
archive/raw_unprocessed/Rice___Healthy/IMG_20190419_094750.jpg,file,.jpg,3906,2023-09-23 06:44:50,untracked,unhashed_bulk_image_asset,external_artifact,archive_candidate,low,"Historical backups, raw zips, and early colab scripts."
archive/raw_unprocessed/Rice___Healthy/IMG_20190419_094753.jpg,file,.jpg,4737,2023-09-23 06:44:50,untracked,unhashed_bulk_image_asset,external_artifact,archive_candidate,low,"Historical backups, raw zips, and early colab scripts."
archive/raw_unprocessed/Rice___Healthy/IMG_20190419_094756.jpg,file,.jpg,4592,2023-09-23 06:44:50,untracked,unhashed_bulk_image_asset,external_artifact,archive_candidate,low,"Historical backups, raw zips, and early colab scripts."
archive/raw_unprocessed/Rice___Healthy/IMG_20190419_094820.jpg,file,.jpg,4088,2023-09-23 06:44:50,untracked,unhashed_bulk_image_asset,external_artifact,archive_candidate,low,"Historical backups, raw zips, and early colab scripts."
archive/raw_unprocessed/Rice___Healthy/IMG_20190419_094825.jpg,file,.jpg,4516,2023-09-23 06:44:50,untracked,unhashed_bulk_image_asset,external_artifact,archive_candidate,low,"Historical backups, raw zips, and early colab scripts."
archive/raw_unprocessed/Rice___Healthy/IMG_20190419_094832.jpg,file,.jpg,4008,2023-09-23 06:44:50,untracked,unhashed_bulk_image_asset,external_artifact,archive_candidate,low,"Historical backups, raw zips, and early colab scripts."
archive/raw_unprocessed/Rice___Healthy/IMG_20190419_094840.jpg,file,.jpg,3681,2023-09-23 06:44:50,untracked,unhashed_bulk_image_asset,external_artifact,archive_candidate,low,"Historical backups, raw zips, and early colab scripts."
archive/raw_unprocessed/Rice___Healthy/IMG_20190419_094843.jpg,file,.jpg,3745,2023-09-23 06:44:50,untracked,unhashed_bulk_image_asset,external_artifact,archive_candidate,low,"Historical backups, raw zips, and early colab scripts."
archive/raw_unprocessed/Rice___Healthy/IMG_20190419_094922.jpg,file,.jpg,4223,2023-09-23 06:44:50,untracked,unhashed_bulk_image_asset,external_artifact,archive_candidate,low,"Historical backups, raw zips, and early colab scripts."
archive/raw_unprocessed/Rice___Healthy/IMG_20190419_094925.jpg,file,.jpg,3977,2023-09-23 06:44:50,untracked,unhashed_bulk_image_asset,external_artifact,archive_candidate,low,"Historical backups, raw zips, and early colab scripts."
archive/raw_unprocessed/Rice___Healthy/IMG_20190419_094929.jpg,file,.jpg,4425,2023-09-23 06:44:50,untracked,unhashed_bulk_image_asset,external_artifact,archive_candidate,low,"Historical backups, raw zips, and early colab scripts."
archive/raw_unprocessed/Rice___Healthy/IMG_20190419_094932.jpg,file,.jpg,4920,2023-09-23 06:44:50,untracked,unhashed_bulk_image_asset,external_artifact,archive_candidate,low,"Historical backups, raw zips, and early colab scripts."
archive/raw_unprocessed/Rice___Healthy/IMG_20190419_094935.jpg,file,.jpg,4207,2023-09-23 06:44:50,untracked,unhashed_bulk_image_asset,external_artifact,archive_candidate,low,"Historical backups, raw zips, and early colab scripts."
archive/raw_unprocessed/Rice___Healthy/IMG_20190419_094939.jpg,file,.jpg,3071,2023-09-23 06:44:50,untracked,unhashed_bulk_image_asset,external_artifact,archive_candidate,low,"Historical backups, raw zips, and early colab scripts."
archive/raw_unprocessed/Rice___Healthy/IMG_20190419_094941.jpg,file,.jpg,2998,2023-09-23 06:44:50,untracked,unhashed_bulk_image_asset,external_artifact,archive_candidate,low,"Historical backups, raw zips, and early colab scripts."
archive/raw_unprocessed/Rice___Healthy/IMG_20190419_094943.jpg,file,.jpg,3151,2023-09-23 06:44:50,untracked,unhashed_bulk_image_asset,external_artifact,archive_candidate,low,"Historical backups, raw zips, and early colab scripts."
archive/raw_unprocessed/Rice___Healthy/IMG_20190419_094948.jpg,file,.jpg,3407,2023-09-23 06:44:50,untracked,unhashed_bulk_image_asset,external_artifact,archive_candidate,low,"Historical backups, raw zips, and early colab scripts."
archive/raw_unprocessed/Rice___Healthy/IMG_20190419_094953.jpg,file,.jpg,3312,2023-09-23 06:44:50,untracked,unhashed_bulk_image_asset,external_artifact,archive_candidate,low,"Historical backups, raw zips, and early colab scripts."
archive/raw_unprocessed/Rice___Healthy/IMG_20190419_095003.jpg,file,.jpg,3600,2023-09-23 06:44:50,untracked,unhashed_bulk_image_asset,external_artifact,archive_candidate,low,"Historical backups, raw zips, and early colab scripts."
archive/raw_unprocessed/Rice___Healthy/IMG_20190419_095006.jpg,file,.jpg,3588,2023-09-23 06:44:50,untracked,unhashed_bulk_image_asset,external_artifact,archive_candidate,low,"Historical backups, raw zips, and early colab scripts."
archive/raw_unprocessed/Rice___Healthy/IMG_20190419_095035.jpg,file,.jpg,4080,2023-09-23 06:44:50,untracked,unhashed_bulk_image_asset,external_artifact,archive_candidate,low,"Historical backups, raw zips, and early colab scripts."
archive/raw_unprocessed/Rice___Healthy/IMG_20190419_095037.jpg,file,.jpg,4884,2023-09-23 06:44:50,untracked,unhashed_bulk_image_asset,external_artifact,archive_candidate,low,"Historical backups, raw zips, and early colab scripts."
archive/raw_unprocessed/Rice___Healthy/IMG_20190419_095041.jpg,file,.jpg,4456,2023-09-23 06:44:50,untracked,unhashed_bulk_image_asset,external_artifact,archive_candidate,low,"Historical backups, raw zips, and early colab scripts."
archive/raw_unprocessed/Rice___Healthy/IMG_20190419_095044.jpg,file,.jpg,4433,2023-09-23 06:44:50,untracked,unhashed_bulk_image_asset,external_artifact,archive_candidate,low,"Historical backups, raw zips, and early colab scripts."
archive/raw_unprocessed/Rice___Healthy/IMG_20190419_095359.jpg,file,.jpg,3802,2023-09-23 06:44:50,untracked,unhashed_bulk_image_asset,external_artifact,archive_candidate,low,"Historical backups, raw zips, and early colab scripts."
archive/raw_unprocessed/Rice___Healthy/IMG_20190419_095432.jpg,file,.jpg,5193,2023-09-23 06:44:50,untracked,unhashed_bulk_image_asset,external_artifact,archive_candidate,low,"Historical backups, raw zips, and early colab scripts."
archive/raw_unprocessed/Rice___Healthy/IMG_20190419_095442.jpg,file,.jpg,4607,2023-09-23 06:44:50,untracked,unhashed_bulk_image_asset,external_artifact,archive_candidate,low,"Historical backups, raw zips, and early colab scripts."
archive/raw_unprocessed/Rice___Healthy/IMG_20190419_095448.jpg,file,.jpg,5134,2023-09-23 06:44:50,untracked,unhashed_bulk_image_asset,external_artifact,archive_candidate,low,"Historical backups, raw zips, and early colab scripts."
archive/raw_unprocessed/Rice___Healthy/IMG_20190419_095500.jpg,file,.jpg,4943,2023-09-23 06:44:50,untracked,unhashed_bulk_image_asset,external_artifact,archive_candidate,low,"Historical backups, raw zips, and early colab scripts."
archive/raw_unprocessed/Rice___Healthy/IMG_20190419_095504.jpg,file,.jpg,3574,2023-09-23 06:44:50,untracked,unhashed_bulk_image_asset,external_artifact,archive_candidate,low,"Historical backups, raw zips, and early colab scripts."
archive/raw_unprocessed/Rice___Healthy/IMG_20190419_095509.jpg,file,.jpg,4624,2023-09-23 06:44:50,untracked,unhashed_bulk_image_asset,external_artifact,archive_candidate,low,"Historical backups, raw zips, and early colab scripts."
archive/raw_unprocessed/Rice___Healthy/IMG_20190419_095515.jpg,file,.jpg,3627,2023-09-23 06:44:50,untracked,unhashed_bulk_image_asset,external_artifact,archive_candidate,low,"Historical backups, raw zips, and early colab scripts."
archive/raw_unprocessed/Rice___Healthy/IMG_20190419_095519.jpg,file,.jpg,4096,2023-09-23 06:44:50,untracked,unhashed_bulk_image_asset,external_artifact,archive_candidate,low,"Historical backups, raw zips, and early colab scripts."
archive/raw_unprocessed/Rice___Healthy/IMG_20190419_095521.jpg,file,.jpg,4792,2023-09-23 06:44:50,untracked,unhashed_bulk_image_asset,external_artifact,archive_candidate,low,"Historical backups, raw zips, and early colab scripts."
archive/raw_unprocessed/Rice___Healthy/IMG_20190419_095541.jpg,file,.jpg,5262,2023-09-23 06:44:50,untracked,unhashed_bulk_image_asset,external_artifact,archive_candidate,low,"Historical backups, raw zips, and early colab scripts."
archive/raw_unprocessed/Rice___Healthy/IMG_20190419_095546.jpg,file,.jpg,5316,2023-09-23 06:44:50,untracked,unhashed_bulk_image_asset,external_artifact,archive_candidate,low,"Historical backups, raw zips, and early colab scripts."
