image_id,filename,category,dimensions,crop_confirmed,leaf_visible,foliage_ratio_pct,blur_variance,independent_label,supervised_prediction,supervised_confidence,supervised_margin,distilled_prediction,distilled_confidence,distilled_margin,abstention_state,abstention_reason,notes
rice_uncurated_ricetest1,ricetest1.webp,uncurated_rice_photo,675x900,rice,True,83.82,88.0,unverified,blast,1.0,1.0,blast,0.6482,0.3005,blast,Confirmed diagnosis (100.0%),Uncurated rice photo from test_images/rice
rice_uncurated_ricetest2,ricetest2.webp,uncurated_rice_photo,800x534,rice,True,83.07,213.0,unverified,blast,0.8193,0.6513,blast,0.8692,0.7401,blast,Confirmed diagnosis (81.9%),Uncurated rice photo from test_images/rice
rice_uncurated_ricetest3,ricetest3.webp,uncurated_rice_photo,459x612,rice,True,97.3,192.1,unverified,brown_spot,0.9312,0.8753,brown_spot,0.5513,0.1028,brown_spot,Confirmed diagnosis (93.1%),Uncurated rice photo from test_images/rice
rice_uncurated_ricetest4,ricetest4.jpg,uncurated_rice_photo,1024x682,rice,True,99.62,280.9,unverified,blast,0.8792,0.7634,blast,0.776,0.5579,blast,Confirmed diagnosis (87.9%),Uncurated rice photo from test_images/rice
rice_uncurated_ricetest5,ricetest5.png,uncurated_rice_photo,2400x1792,rice,True,79.62,270.4,unverified,blight,0.9192,0.8561,blight,0.5165,0.1085,blight,Confirmed diagnosis (91.9%),Uncurated rice photo from test_images/rice
rice_uncurated_ricetest6,ricetest6.png,uncurated_rice_photo,2400x1792,rice,False,3.15,43.8,unverified,healthy,0.9962,0.9936,healthy,0.999,0.9982,unsupported_input,No leaf detected (foliage 3.1% < 5%),Uncurated rice photo from test_images/rice
rice_field_01,blast_test_00001.jpg,curated_field_holdout,224x224,rice,True,38.29,290.1,blast,blast,1.0,1.0,blast,1.0,1.0,blast,Confirmed diagnosis (100.0%),Verified field leaf: acute_spindle_lesion
rice_field_02,blast_test_00011.jpg,curated_field_holdout,224x224,rice,True,88.34,273.4,blast,blast,1.0,1.0,blast,1.0,1.0,blast,Confirmed diagnosis (100.0%),Verified field leaf: coalescing_spindle_lesions
rice_field_03,blast_test_00016.jpg,curated_field_holdout,224x224,rice,True,85.43,114.5,blast,blast,1.0,1.0,blast,0.9994,0.999,blast,Confirmed diagnosis (100.0%),Verified field leaf: foliar_blast_halo
rice_field_04,blight_test_00002.jpg,curated_field_holdout,224x224,rice,True,96.75,102.6,blight,blight,1.0,1.0,blight,0.9988,0.9982,blight,Confirmed diagnosis (100.0%),Verified field leaf: longitudinal_marginal_stripe
rice_field_05,blight_test_00012.jpg,curated_field_holdout,224x224,rice,True,97.1,25.8,blight,blight,1.0,1.0,blight,0.9997,0.9995,unsupported_input,Severe blur (Laplacian 25.8 < 40),Verified field leaf: terminal_blade_blight
rice_field_06,blight_test_00014.jpg,curated_field_holdout,224x224,rice,True,98.42,347.1,blight,blight,1.0,1.0,blight,0.9985,0.9975,blight,Confirmed diagnosis (100.0%),Verified field leaf: bacterial_ooze_stripe
rice_field_07,brown_spot_test_00011.jpg,curated_field_holdout,224x224,rice,True,89.31,16.0,brown_spot,brown_spot,0.9999,0.9998,brown_spot,0.9996,0.9993,unsupported_input,Severe blur (Laplacian 16.0 < 40),Verified field leaf: oval_dark_brown_spots
rice_field_08,brown_spot_test_00019.jpg,curated_field_holdout,224x224,rice,True,98.82,44.9,brown_spot,brown_spot,0.9989,0.9979,brown_spot,0.9937,0.9883,brown_spot,Confirmed diagnosis (99.9%),Verified field leaf: concentric_ring_spots
rice_field_09,brown_spot_test_00022.jpg,curated_field_holdout,224x224,rice,True,89.35,15.1,brown_spot,brown_spot,0.9998,0.9996,brown_spot,0.9994,0.999,unsupported_input,Severe blur (Laplacian 15.1 < 40),Verified field leaf: coalescent_foliar_spots
rice_field_10,IMG_20190419_100026.jpg,curated_field_holdout,256x256,rice,True,13.22,243.4,healthy,healthy,1.0,1.0,healthy,1.0,1.0,healthy,Confirmed diagnosis (100.0%),Verified field leaf: unblemished_paddy_foliage
rice_field_11,IMG_20190419_110144.jpg,curated_field_holdout,256x256,rice,True,19.93,208.0,healthy,healthy,1.0,1.0,healthy,0.9999,0.9998,healthy,Confirmed diagnosis (100.0%),Verified field leaf: slender_vegetative_blade
rice_field_12,IMG_20190424_130033.jpg,curated_field_holdout,256x256,rice,True,24.35,180.3,healthy,healthy,1.0,1.0,healthy,0.9999,0.9999,healthy,Confirmed diagnosis (100.0%),Verified field leaf: elongated_healthy_canopy
cluttered_test3image,test3image.png,cluttered_scene,2048x2048,unknown,True,96.71,484.1,unusable_scene,brown_spot,0.9971,0.9943,brown_spot,0.9763,0.9538,brown_spot,Confirmed diagnosis (99.7%),Cluttered or poor quality non-standard image
cluttered_test4,test4.png,cluttered_scene,2048x2048,unknown,True,98.73,203.0,unusable_scene,blast,0.9246,0.85,blight,0.8088,0.7059,blast,Confirmed diagnosis (92.5%),Cluttered or poor quality non-standard image
