width,height,aspect_ratio,file_size_kb,mean_r,mean_g,mean_b,brightness,contrast,sharpness,bg_luminance,class_label,source,filename
224,224,1.0,13.0,118.82,130.7,77.49,121.08,44.77,10.88,136.12,blast,RiceDisease_Unknown,blast_test_00021
224,224,1.0,19.0,170.44,165.02,111.9,160.58,43.76,353.15,123.03,blast,RiceDisease_Unknown,blast_train_00478
224,224,1.0,25.7,81.9,125.73,56.7,104.75,43.7,354.64,100.65,blast,RiceDisease_Unknown,blast_train_00351
224,224,1.0,21.2,117.24,111.34,90.66,110.75,53.86,234.57,97.23,blast,RiceDisease_Unknown,blast_test_00078
224,224,1.0,14.6,143.17,137.51,119.3,137.13,64.37,48.83,134.51,blast,RiceDisease_Unknown,blast_test_00108
224,224,1.0,18.1,172.31,152.16,96.07,151.79,48.62,185.46,153.51,blast,RiceDisease_Unknown,blast_train_00262
224,224,1.0,17.3,90.82,110.48,57.37,98.55,43.02,125.32,97.71,blast,RiceDisease_Unknown,blast_train_00216
224,224,1.0,19.9,103.65,143.52,73.8,123.65,39.19,206.79,122.62,blast,RiceDisease_Unknown,blast_train_00335
224,224,1.0,18.4,90.49,107.53,83.91,99.74,49.62,204.2,85.92,blast,RiceDisease_Unknown,blast_train_00087
224,224,1.0,18.5,132.65,124.25,111.35,125.29,50.08,239.09,181.18,blast,RiceDisease_Unknown,blast_test_00063
224,224,1.0,10.1,115.05,146.9,114.03,133.63,19.49,3.7,152.63,blast,RiceDisease_Unknown,blast_train_00577
224,224,1.0,12.0,102.98,144.87,90.25,126.12,37.72,20.76,54.58,blast,RiceDisease_Unknown,blast_train_00068
224,224,1.0,15.5,114.69,122.32,86.14,115.91,57.33,72.48,111.66,blast,RiceDisease_Unknown,blast_train_00219
224,224,1.0,9.6,110.11,156.68,51.16,130.72,22.66,3.93,144.7,blast,RiceDisease_Unknown,blast_test_00140
224,224,1.0,19.3,114.32,158.34,84.5,136.76,30.57,762.74,160.37,blast,RiceDisease_Unknown,blast_train_00583
